LGEQ01000053.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_322, whole genome shotgun sequence
LGEQ01000049.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_264, whole genome shotgun sequence
LGEQ01000080.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_708, whole genome shotgun sequence
LGEQ01000037.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_169, whole genome shotgun sequence
LGEQ01000073.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_587, whole genome shotgun sequence
LGEQ01000054.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_348, whole genome shotgun sequence
LGEQ01000058.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_389, whole genome shotgun sequence
LGEQ01000072.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_578, whole genome shotgun sequence
LGEQ01000056.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_359, whole genome shotgun sequence
LGEQ01000017.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_62, whole genome shotgun sequence
LGEQ01000008.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_40, whole genome shotgun sequence
LGEQ01000098.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_1813, whole genome shotgun sequence
LGEQ01000068.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_546, whole genome shotgun sequence
LGEQ01000091.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_1223, whole genome shotgun sequence
LGEQ01000031.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_122, whole genome shotgun sequence
LGEQ01000074.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_597, whole genome shotgun sequence
LGEQ01000028.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_101, whole genome shotgun sequence
LGEQ01000061.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_417, whole genome shotgun sequence
LGEQ01000055.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_354, whole genome shotgun sequence
LGEQ01000043.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_213, whole genome shotgun sequence
LGEQ01000085.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_874, whole genome shotgun sequence
LGEQ01000012.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_45, whole genome shotgun sequence
LGEQ01000077.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_657, whole genome shotgun sequence
LGEQ01000025.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_94, whole genome shotgun sequence
LGEQ01000069.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_551, whole genome shotgun sequence
LGEQ01000093.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_1430, whole genome shotgun sequence
LGEQ01000078.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_662, whole genome shotgun sequence
LGEQ01000015.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_53, whole genome shotgun sequence
LGEQ01000041.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_196, whole genome shotgun sequence
LGEQ01000064.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_487, whole genome shotgun sequence
LGEQ01000003.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_8, whole genome shotgun sequence
LGEQ01000036.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_155, whole genome shotgun sequence
LGEQ01000014.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_49, whole genome shotgun sequence
LGEQ01000059.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_402, whole genome shotgun sequence
